polymarket_id,kalshi_id,polymarket_question,kalshi_question,polymarket_yes,kalshi_yes,yes_aligned,normalized_gap,priceable,same_event,same_contract,stage,triage_label,triage_reason,category,polymarket_volume,kalshi_volume,liquidity_floor_passed
0x52a7606da0832fd1d4f65c24771d531fbfa509379796d6f08ad8dede8f57bee2,KXPERUPRESMOV-26JUN07-KFUJ-P1,Will Fujimori win the 2nd round of the 2026 Peru presidential election by 0.3–0.4%?,"Peru presidential election runoff margin of victory? — Keiko Fujimori, 0-3%",0.0005,1.0000,true,0.9995,false,true,true,dropped_degenerate,dropped_degenerate,Both markets focus on Fujimori's election margin.,Elections,471930,13484,true
0x9cdb74c86b303f7a2f15d4d822b6421310cfffb9efa3ab7346b13c63a057ba4f,KXPERUPRESMOV-26JUN07-KFUJ-P1,Will Fujimori win the 2nd round of the 2026 Peru presidential election by 0.4–0.5%?,"Peru presidential election runoff margin of victory? — Keiko Fujimori, 0-3%",0.0005,1.0000,true,0.9995,false,true,true,dropped_degenerate,dropped_degenerate,Both focus on Fujimori's margin of victory.,Elections,316633,13484,true
0xc05733ff4abddbf855f9c247fd57fcebfa0e756e624718c19e0abc545e8a0993,KXPERUPRESMOV-26JUN07-KFUJ-P1,Will Fujimori win the 2nd round of the 2026 Peru presidential election by 0–0.1%?,"Peru presidential election runoff margin of victory? — Keiko Fujimori, 0-3%",0.0005,1.0000,true,0.9995,false,true,true,dropped_degenerate,dropped_degenerate,Both markets focus on Fujimori's election margin.,Elections,327442,13484,true
0x9cd42f0bb19b8c3301a79f97ec98f2c4c51cb7392b101a3d7054e32c494856f0,KXCAGOVCOUNTY-26-CBIA,Will Chad Bianco finish first in the 2026 California Governor primary election in Santa Clara County?,California governor primary: which candidates will win a county? (In 2026),0.0005,1.0000,true,0.9995,false,true,false,topical_overlap,,Different resolution criteria regarding county wins.,Elections,554,8311,true
0x8d62f20324e9e7f1a3c663ab6aac9a2f6e7adb96c6a69ac2cea7e08a71a7f2ef,KXCAGOVCOUNTY-26-TSTE,Will Tom Steyer win the California Governor Election in 2026?,California governor primary: which candidates will win a county? (In 2026),0.0005,1.0000,true,0.9995,false,true,false,topical_overlap,,Different resolution criteria for primary vs general election.,Elections,4684291,7065,true
0x34e764e41a786298624389b2c79d4fb403d6953c3377048864c6039d6f05a098,KXCAGOVCOUNTY-26-CBIA,Will Chad Bianco finish first in the 2026 California Governor primary election in San Francisco City and County?,California governor primary: which candidates will win a county? (In 2026),0.0005,1.0000,true,0.9995,false,true,false,topical_overlap,,Different resolution criteria regarding county wins.,Elections,771,8311,true
0x87f093341ab2438f8e1b7ea9e4a18e0aae873ebfb838cc55039e500b13109ad9,KXTSLA-26JULDELIV-350000.0,Will Tesla deliver between 325000 and 350000 vehicles in Q2 2026,Tesla deliveries in Q2 (in Q2 2026),0.0005,1.0000,true,0.9995,false,true,false,topical_overlap,,Different thresholds for vehicle deliveries.,Companies,10616,2383,true
0xcffd90a1bb9b1a0918687f9952c9fe613375011c1f495782ead9b2cf07f58e88,KXPERUPRESMOV-26JUN07-KFUJ-P1,Will Fujimori win the 2nd round of the 2026 Peru presidential election by 0.6–0.7%?,"Peru presidential election runoff margin of victory? — Keiko Fujimori, 0-3%",0.0005,1.0000,true,0.9995,false,true,false,topical_overlap,,Different margin thresholds for resolution.,Elections,53044,13484,true
0x05582d8990d7145c5a409214cd025cafa703561fa2b57fe54b57f9a3989f76cf,KXPERUPRESMOV-26JUN07-KFUJ-P1,Will Fujimori win the 2nd round of the 2026 Peru presidential election by 0.9–1.0%?,"Peru presidential election runoff margin of victory? — Keiko Fujimori, 0-3%",0.0005,1.0000,true,0.9995,false,true,false,topical_overlap,,Different margin thresholds for victory.,Elections,49553,13484,true
0xe644cc0175d46e4faa41293c3301d8fdfea1de71135f89ba627e3eec1a62c4d6,KXPERUPRESMOV-26JUN07-KFUJ-P1,Will Fujimori win the 2nd round of the 2026 Peru presidential election by 0.8–0.9%?,"Peru presidential election runoff margin of victory? — Keiko Fujimori, 0-3%",0.0005,1.0000,true,0.9995,false,true,false,topical_overlap,,Different margin thresholds for victory.,Elections,45052,13484,true
0xb8f4a06d8f63fd36a6157f5de81b9f8a21b72954e6515a4319e10c8977b19aed,KXPERUPRESMOV-26JUN07-KFUJ-P1,Will Fujimori win the 2nd round of the 2026 Peru presidential election by 0.7–0.8%?,"Peru presidential election runoff margin of victory? — Keiko Fujimori, 0-3%",0.0005,1.0000,true,0.9995,false,true,false,topical_overlap,,Different margin thresholds but same candidate and event.,Elections,43869,13484,true
0x092a1caced2ab5071c09069f1bd097347466309e5b208bd4f78818bcaf8cf005,KXMUSKNW-26JUN30-T780,Will Elon Musk’s net worth be between $780b and $800b on June 30?,Elon Musk net worth on June 30 (Bloomberg) (June),0.0015,1.0000,true,0.9985,false,true,true,dropped_degenerate,dropped_degenerate,"Same event and criteria, aligned thresholds.",Economics,6439,56080,true
0x1a5b898bbfa1e697c19afeef356d9c1a6ecb95d2493c31524d3c75f16f782c3e,KXCAGOVCOUNTY-26-CBIA,Will Chad Bianco win the California Governor Election in 2026?,California governor primary: which candidates will win a county? (In 2026),0.0015,1.0000,true,0.9985,false,true,false,topical_overlap,,Different resolution criteria for primary vs general election.,Elections,1900105,8311,true
0xfd45c2b5ccd359ed73f7083eb19b84ea2d1c9ab1a0e2642332e2001a53b30a44,KXMUSKNW-26JUN30-T700,Will Elon Musk’s net worth be between $700b and $720b on June 30?,Elon Musk net worth on June 30 (Bloomberg) (June),0.0020,1.0000,true,0.9980,false,true,true,dropped_degenerate,dropped_degenerate,Both assess Elon Musk's net worth on June 30.,Economics,5598,3843,true
0x3c0c46b4bf15f6207ee019851878e77fce69e058efbb8f97f6c67608c6f4b484,KXCAGOVCOUNTY-26-CBIA,Will Chad Bianco win the 2026 California Governor Primary Election?,California governor primary: which candidates will win a county? (In 2026),0.0020,1.0000,true,0.9980,false,true,false,topical_overlap,,Different resolution criteria regarding county wins.,Elections,732,8311,true
0xd950c9590fd84b48667a4400a2cd53a55d32bb8385bd6af7e44b1f1ff9cf7220,KXPERUPRESMOV-26JUN07-KFUJ-P1,Will Fujimori win the 2nd round of the 2026 Peru presidential election by 0.1–0.2%?,"Peru presidential election runoff margin of victory? — Keiko Fujimori, 0-3%",0.0025,1.0000,true,0.9975,false,true,true,dropped_degenerate,dropped_degenerate,Both markets focus on Fujimori's margin of victory.,Elections,463715,13484,true
0xb3158189640c764ce69b40b15759c38959b10e143383f1691a801ffed1801a3f,KXNATGASMON-26JUN3017-T2.599,Will Natural Gas (NG) hit (LOW) $2.60 in June?,"Natural gas price on June 30, 2026 at 5:00 PM EDT? (June 30, 2026 at 5:00 PM EDT)",0.0025,1.0000,true,0.9975,false,true,true,dropped_degenerate,dropped_degenerate,"Same underlying event and criteria, aligned thresholds.",Commodities,16309,28,true
0x7f8ded99faf283e2476d27b25de1666f209a857c135ab74657d4242704aea0f0,KXMUSKNW-26JUN30-T760,Will Elon Musk’s net worth be between $760b and $780b on June 30?,Elon Musk net worth on June 30 (Bloomberg) (June),0.0035,1.0000,true,0.9965,false,true,false,topical_overlap,,Different thresholds for net worth range.,Economics,5922,10434,true
0x0629c2518036e5d7705718d0e828e49d79ac40a919ec90a134f75c8cda35e89c,KXLEAVEWALZ-27JAN01-TWAL-26JUL01,Will Tim Walz resign by June 30?,Tim Walz out as Governor of Minnesota? (Before 2027),0.0005,0.0030,false,0.9965,false,true,false,topical_overlap,,Different deadlines and resolution criteria.,Politics,301602,6104,true
0xffa0accb74987c0dc33a70eb3780c1da160206bcfb3ef5d16c1667bc5c459c78,KXRATECUTCOUNT-26DEC31-T12,Will 12 or more Fed rate cuts happen in 2026?,Number of rate cuts in 2026? — Exactly 12 cuts,0.0035,0.0010,false,0.9955,false,true,true,dropped_degenerate,dropped_degenerate,Different thresholds for rate cuts.,Economics,3235566,50,true
0xa94e12b5a30b2c7c3feea11897aa946d33bcc436fe4b31149708c32c02f40da3,KXNATGASMON-26JUN3017-T2.399,Will Natural Gas (NG) hit (LOW) $2.40 in June?,"Natural gas price on June 30, 2026 at 5:00 PM EDT? (June 30, 2026 at 5:00 PM EDT)",0.0045,1.0000,true,0.9955,false,true,true,dropped_degenerate,dropped_degenerate,Same underlying event with aligned resolution criteria.,Commodities,6815,80,true
